section,key,n,bias,rmse,mae,maxabs,dwelling,leg_kind,design_flow_ls,source_room,res_bias,res_rmse,res_maxabs,res_argmax_hour,air_bias,air_rmse,air_maxabs,mrt_bias,mrt_rmse,mrt_maxabs,A_gt26_hours,B_gt26_hours,A_mean_res,B_mean_res,B_inlet_mean_C,A_inlet_mean_C,inlet_delta_K,B_leaving_mean_C,B_zone_mean_C,B_stratification_K,corr,note,dv_true_bias,dv_true_rmse,dv_false_bias,dv_false_rmse,dv_true_mean,dv_false_mean,A_mean,S_minus_B,B_minus_A,A_res,B_res
monthly,Bathroom_2|Nov,,0.943235,1.040909,,2.222608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Dec,,1.030733,1.125852,,2.374563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Jan,,0.752346,0.773657,,1.026047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Feb,,0.792442,0.814153,,1.168167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Mar,,0.964808,0.987939,,1.346325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Apr,,0.523751,0.656219,,1.111834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|May,,-0.096639,0.495405,,1.377520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Jun,,-0.326490,0.467242,,1.435757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Jul,,-0.226926,0.367700,,1.179420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Aug,,-0.188015,0.284918,,0.949932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Sep,,-0.449380,0.578719,,1.543732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Oct,,0.005008,0.467379,,1.485170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Nov,,0.851661,0.889787,,1.222876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Studio 1_0|Dec,,0.843757,0.868063,,1.145039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Jan,,0.789254,0.804625,,1.117866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Feb,,0.830051,0.841758,,1.093306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Mar,,1.039796,1.055174,,1.415823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Apr,,0.883193,0.902009,,1.345505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|May,,0.683376,0.733536,,2.351591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Jun,,-0.097269,0.238293,,0.770184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Jul,,-0.177750,0.285921,,0.771778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Aug,,-0.174951,0.267173,,1.542660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Sep,,-0.135541,0.286467,,0.802673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Oct,,0.397841,0.498136,,0.954833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Nov,,0.920284,0.944136,,1.269760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_3|Dec,,0.911051,0.926766,,1.243311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Jan,,0.495710,0.551503,,1.333123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Feb,,0.609929,0.658998,,1.342411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Mar,,0.921713,0.964739,,1.854494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Apr,,0.685638,0.731332,,1.566307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|May,,0.360747,0.538506,,1.697945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Jun,,-0.790539,0.898722,,2.279245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Jul,,-1.032414,1.124720,,2.633465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Aug,,-1.118406,1.213458,,2.605864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Sep,,-0.828227,0.908419,,2.531658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Oct,,-0.105708,0.444023,,1.791332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Nov,,0.701466,0.753205,,1.689190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_5|Dec,,0.714196,0.754837,,1.637904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Jan,,1.261359,1.269440,,1.702563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Feb,,1.329897,1.337550,,1.646173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Mar,,1.556514,1.565501,,1.927600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Apr,,1.337545,1.347320,,1.963053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|May,,0.972341,1.037459,,2.459118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Jun,,0.036718,0.239791,,0.843815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Jul,,-0.034384,0.187475,,0.763529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Aug,,-0.026836,0.171617,,2.055933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Sep,,0.004295,0.274555,,0.859221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Oct,,0.645670,0.754513,,1.211678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Nov,,1.427930,1.439035,,1.697507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_4|Dec,,1.467217,1.474388,,2.048023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Jan,,0.729939,0.748388,,1.071069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Feb,,0.779145,0.792405,,1.034786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Mar,,0.987336,1.004091,,1.388527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Apr,,0.876488,0.894459,,1.364559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|May,,0.769137,0.812823,,2.492712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Jun,,-0.092145,0.238467,,0.712631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Jul,,-0.201419,0.297302,,0.780600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Aug,,-0.208707,0.292047,,1.599327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Sep,,-0.149304,0.295679,,0.805973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Oct,,0.386098,0.486185,,0.933425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Nov,,0.870606,0.895446,,1.219614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bedroom 2_6|Dec,,0.862095,0.880156,,1.206857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Jan,,0.064552,0.252513,,0.905262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Feb,,0.191060,0.302732,,1.001212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Mar,,0.513675,0.579982,,1.435409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Apr,,0.283145,0.382429,,1.109417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|May,,-0.006642,0.392431,,1.475552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Jun,,-1.099558,1.186983,,2.571289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Jul,,-1.308813,1.387426,,2.903435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Aug,,-1.404710,1.482622,,2.908573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Sep,,-1.189845,1.240466,,2.773144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Oct,,-0.549694,0.689438,,2.184351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Nov,,0.239168,0.365774,,1.180561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Ensuite_8|Dec,,0.288578,0.374859,,1.215078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Jan,,1.095113,1.104889,,1.553186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Feb,,1.173303,1.179237,,1.434826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Mar,,1.393130,1.400536,,1.806825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Apr,,1.197342,1.206131,,1.774274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|May,,0.873045,0.939367,,2.373676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Jun,,-0.027027,0.237762,,0.843901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Jul,,-0.078964,0.195296,,0.796246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Aug,,-0.068077,0.182076,,2.147987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Sep,,-0.093936,0.271460,,0.884884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Oct,,0.486491,0.615340,,1.036350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Nov,,1.245998,1.257984,,1.554295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Kitchen_7|Dec,,1.310387,1.317466,,1.921619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Jan,,0.743785,0.849258,,2.155519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Feb,,0.816950,0.904215,,2.112161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Mar,,1.068065,1.136465,,2.454351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Apr,,0.823058,0.924076,,2.133322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|May,,0.503097,0.730602,,2.492712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Jun,,-0.296303,0.604606,,2.571289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Jul,,-0.391515,0.691267,,2.903435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Aug,,-0.391532,0.722431,,2.908573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Sep,,-0.377913,0.643633,,2.773144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Oct,,0.174245,0.566787,,2.184351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Nov,,0.900043,0.995168,,2.222608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,POOLED|Dec,,0.928502,1.017010,,2.374563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regime,ODB_ge_20,3480.000000,-0.047625,0.490362,,2.492712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regime,ODB_10_to_20,31648.000000,0.000731,0.777155,,2.908573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regime,ODB_lt_10,34952.000000,0.751245,0.906712,,2.344272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regime,night_23_06,23360.000000,0.401620,0.789338,,2.147987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regime,day_07_22,46720.000000,0.358157,0.854727,,2.908573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_supply_air,MVHR-01,,0.000000,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,native fresh-air duct temperature minus outdoor dry bulb,,,,,,,,,,,
A_supply_air,MVHR-01_plenum_minus_ODB,,-0.001973,1.468108,,6.320564,,,,,,,,,,,,,,,,,,,,,,,,,,"Reference A supplies each dwelling from an 18 m3 MVHR zone, not outdoor air",,,,,,,,,,,
B0_supply_air,MVHR-02,,0.000000,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,native fresh-air duct temperature minus outdoor dry bulb,,,,,,,,,,,
A_supply_air,MVHR-02_plenum_minus_ODB,,-0.001662,0.847488,,3.711226,,,,,,,,,,,,,,,,,,,,,,,,,,"Reference A supplies each dwelling from an 18 m3 MVHR zone, not outdoor air",,,,,,,,,,,
B0_supply_air,MVHR-03,,0.000000,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,native fresh-air duct temperature minus outdoor dry bulb,,,,,,,,,,,
A_supply_air,MVHR-03_plenum_minus_ODB,,-0.001662,0.847488,,3.711226,,,,,,,,,,,,,,,,,,,,,,,,,,"Reference A supplies each dwelling from an 18 m3 MVHR zone, not outdoor air",,,,,,,,,,,
experiment_DisplacementVent,Bathroom_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531684,0.978923,1.497544,1.724452,18.489711,19.455572,17.958028,,,,
experiment_DisplacementVent,Studio 1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292475,0.802949,0.534502,0.855912,15.974125,16.216152,15.681650,,,,
experiment_DisplacementVent,Bedroom 2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523115,0.780287,0.551112,0.788085,14.939407,14.967403,14.416292,,,,
experiment_DisplacementVent,Ensuite_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095764,0.986407,1.504644,1.716288,17.378713,18.979122,17.474477,,,,
