pair,shift,scope,n,bias,rmse,mae,maxabs,corr
A_res vs B_res,-2,Bedroom 2_6,8758,0.466074,0.825559,0.694973,3.086902,0.988318
A_res vs B_res,-1,Bedroom 2_6,8759,0.466008,0.734538,0.627680,2.885952,0.993382
A_res vs B_res,0,Bedroom 2_6,8760,0.465875,0.693988,0.597421,2.492712,0.995440
A_res vs B_res,1,Bedroom 2_6,8759,0.465670,0.751353,0.643642,2.481691,0.992469
A_res vs B_res,2,Bedroom 2_6,8758,0.465548,0.854751,0.707748,3.372395,0.986534
A_res vs B_res,3,Bedroom 2_6,8757,0.465449,0.976779,0.780492,4.453503,0.978550
A_res vs B_res,-3,Ensuite_8,8757,-0.334241,0.981787,0.799880,2.973908,0.976933
A_res vs B_res,-2,Ensuite_8,8758,-0.334354,0.932211,0.745363,2.973711,0.981507
A_res vs B_res,-1,Ensuite_8,8759,-0.334499,0.874763,0.681288,2.871074,0.986510
A_res vs B_res,0,Ensuite_8,8760,-0.334679,0.849632,0.651616,2.908573,0.988592
A_res vs B_res,1,Ensuite_8,8759,-0.334953,0.925097,0.715519,2.983867,0.982121
A_res vs B_res,2,Ensuite_8,8758,-0.335161,1.007390,0.781404,3.005562,0.974440
A_res vs B_res,3,Ensuite_8,8757,-0.335324,1.053267,0.830834,3.176334,0.969875
A_res vs B_res,-3,Kitchen_7,8757,0.706819,1.130662,0.942975,3.568825,0.979223
A_res vs B_res,-2,Kitchen_7,8758,0.706737,1.050577,0.877594,3.192331,0.986441
A_res vs B_res,-1,Kitchen_7,8759,0.706637,0.982657,0.824016,3.000604,0.992142
A_res vs B_res,0,Kitchen_7,8760,0.706490,0.947560,0.784782,2.373676,0.994926
A_res vs B_res,1,Kitchen_7,8759,0.706282,0.987991,0.828233,2.790972,0.991667
A_res vs B_res,2,Kitchen_7,8758,0.706126,1.061904,0.876868,3.647400,0.985383
A_res vs B_res,3,Kitchen_7,8757,0.705993,1.150472,0.928554,4.255433,0.977261
